Name,Ingredients,Station,Location,Meal Type,Item ID
Seasoned Rice,"Ingredients: Water, White Rice (long grain rice enriched with iron [ferric orthophosphate], niacin, thiamin [thiamin mononitrate] and folic acid), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Vegan,Warren,dinner,169
Pork And Beef Vindaloo,"Ingredients: Top Round (beef), Pork Shoulder and Butt, Diced Potato Cubes in Water, Sliced Black Olives (olives, water, salt, ferrous gluconate), Apple Cider Vinegar (apple cider vinegar,  distilled vinegar from grain, natural flavor with caramel color, diluted with water to a uniform pickling and table strength of 5% [50 grains] acidity), Fresh Bell Pepper, Fresh Yellow Onion, Low-Sodium Gluten-Free Beef Base (roasted beef and beef stock, salt, natural flavors, sugar, tomato paste, 2% or less of potato starch, autolyzed yeast extract, canola oil, beef fat), Water, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Light Brown Sugar (brown sugar [when produced at chalmette or crockett facilities] sugar, molasses [when produced at south bay facility]), Ground Turmeric, Ground Cumin, Ground Paprika (paprika and silicon dioxide [added to make free flowing]), Whole Mustard Seed, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Cinnamon, Fresh Gingerroot, Whole Cloves, Ground Cardamom, Ground Nutmeg, Ground Black Pepper, Habanero Chili Pepper",Wok Station,Warren,lunch,99
Yellow Lentil Dal,"Ingredients: Water, Golden Yellow Lentils, Ground Cumin, Ground Coriander, Fresh Tomatoes, Ground Cardamom, Fresh Yellow Onion, Ground Cinnamon, Ground Cloves, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Gingerroot, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Whole Cumin Seed, Ground Turmeric",Wok Station,Warren,lunch,100
Chinese Hot And Sour Soup With Pork,"Ingredients: Water, Boneless Pork Loin, Extra Firm Tofu (water, organic soybeans, less than 2% of magnesium chloride, calcium sulfate), Fresh Mushrooms, Bamboo Shoots (bamboo shoots, water, citric acid), Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Light Soy Sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate: less than 1/10 of 1% as a preservative), Seasoned Rice Wine Vinegar (rice wine vinegar [diluted with water to 4.5% acidity], sugar, salt, potassium metabisulfite [preservative], caramel color), Low-Sodium Gluten-Free Chicken Base (chicken meat, salt, chicken broth, chicken fat, sugar, canola oil, corn starch, 2% or less of natural flavors, potato starch, turmeric [color]), Fresh Gingerroot, Scallion, Fresh Cilantro, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Corn Starch, Sambal Oelek Chili Paste (chili, salt, acetic acid, potassium sorbate and sodium bisulfite as preservatives, xanthan gum. contains sulphite [sodium bisulfite]), Granulated Sugar, Granulated Iodized Salt (salt, sodium silicoaluminate, dextrose, potassium iodine and sodium bicarbonate), Ground Black Pepper",Wok Station,Warren,lunch,101
Rogan Josh,"Ingredients: Lamb Stew Meat, Water, Ground Cumin, Fresh Tomatoes, Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Fresh Yellow Onion, Ground Coriander, Tomato Puree (vine ripened tomatoes, water, tomato paste, salt), Ground Cardamom, Indian Curry Paste (ground onion [onion, citric acid], water, canola oil, spices [paprika [color], cumin, coriander, black pepper, turmeric, cayenne, cardamom], ground garlic [garlic, citric acid], ginger puree [ginger, phosphoric acid], distilled vinegar, salt, dehydrated onion), Ground Cinnamon, Ground Cloves, Tomato Paste (vine ripened fresh tomatoes, citric acid), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Fresh Garlic, Fresh Gingerroot, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro, Ground Black Pepper",Wok Station,Warren,dinner,177
Sargent Choice Chana Masala,"Ingredients: Low Sodium Garbanzo Beans (prepared chick peas, water, salt, calcium chloride [firming agent], disodium edta [promotes color retention]), Fresh Yellow Onion, Fresh Tomatoes, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Jalapeno Pepper, Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil), Fresh Garlic, Fresh Cilantro, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Gingerroot",Wok Station,Warren,dinner,178
Chinese Hot And Sour Soup With Pork,"Ingredients: Water, Boneless Pork Loin, Extra Firm Tofu (water, organic soybeans, less than 2% of magnesium chloride, calcium sulfate), Fresh Mushrooms, Bamboo Shoots (bamboo shoots, water, citric acid), Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Light Soy Sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate: less than 1/10 of 1% as a preservative), Seasoned Rice Wine Vinegar (rice wine vinegar [diluted with water to 4.5% acidity], sugar, salt, potassium metabisulfite [preservative], caramel color), Low-Sodium Gluten-Free Chicken Base (chicken meat, salt, chicken broth, chicken fat, sugar, canola oil, corn starch, 2% or less of natural flavors, potato starch, turmeric [color]), Fresh Gingerroot, Scallion, Fresh Cilantro, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Corn Starch, Sambal Oelek Chili Paste (chili, salt, acetic acid, potassium sorbate and sodium bisulfite as preservatives, xanthan gum. contains sulphite [sodium bisulfite]), Granulated Sugar, Granulated Iodized Salt (salt, sodium silicoaluminate, dextrose, potassium iodine and sodium bicarbonate), Ground Black Pepper",Wok Station,Warren,dinner,179
Chicken Tikka Masala,"Ingredients: Fresh Tomatoes, Tomato Puree (vine ripened tomatoes, water, tomato paste, salt), Halal Chicken Thigh ((boneless skinless thigh meat)), Curry Powder (coriander, fenugreek, turmeric, cumin, black pepper, bay leaves, celery seed, nutmeg, clove, onion, ginger and red pepper), Fresh Tomatoes, Indian Curry Paste (ground onion [onion, citric acid], water, canola oil, spices [paprika [color], cumin, coriander, black pepper, turmeric, cayenne, cardamom], ground garlic [garlic, citric acid], ginger puree [ginger, phosphoric acid], distilled vinegar, salt, dehydrated onion), Non-Fat Plain Greek Yogurt (cultured grade a non fat milk), Fresh Jalapeno Pepper, Fresh Yellow Onion, Half & Half Cream (milk, cream and disodium phosphate), Ground Paprika (paprika and silicon dioxide [added to make free flowing]), Fresh Gingerroot, Ground Cardamom, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Ground Cinnamon, Ground Cloves, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro, Ground Black Pepper, Ground Cumin",Wok Station,Warren,dinner,180
Acai Berry Smoothie,"Ingredients: ""MILK ALMOND ESL REFRIGERATED"" (ingredient details unavailable at this time), ""Ice Cubes"" (ingredient details unavailable at this time), Acai Pureè (organic fair trade açaí puree*, filtered water, organic invert cane syrup, organic tapioca syrup, organic vegetable glycerin, organic locust bean gum, organic guar gum, organic flavor, organic sunflower lecithin, citric acid, organic fruit & vegetable juice [for color]), Sliced Bananas (bananas, ascorbic and citric acid [to preserve color]), Sliced Unsweetened Strawberries",Wraps N Bowls,Warren,breakfast,8
Egg & Cheese Biscuit Sandwich,"Ingredients: Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Mild White Cheddar Slices (pasteurized milk, cheese culture, salt, enzymes, annatto  [vegetable color]), Southern-Style Biscuit (enriched flour bleached [wheat flour, malted barley flour, niacin, ferrous sulfate [iron], thiamin mononitrate, riboflavin, folic acid], water, soybean oil, hydrogenated soybean oil, buttermilk, palm oil, palm kernel oil, sugar, sodium aluminum phosphate, salt, baking soda, datem, calcium acid pyrophosphate, sodium caseinate, potassium bicarbonate, wheat protein isolate, pectin, cream, natural flavor)",Wraps N Bowls,Warren,breakfast,9
Achiote Chicken ,"Ingredients: Halal Chicken Thigh ((boneless skinless thigh meat)), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Achiote Paste (water, corn flour, annatto seed, salt, garlic, spices, acetic acid and sodium benzoate as preservative [MAY CONTAIN SESAME SEEDS]), Fresh Jalapeno Pepper, Fresh Cilantro, Fresh Garlic, Ground Black Pepper, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Wraps N Bowls,Warren,lunch,55
Mojo Pork,"Ingredients: Pork Shoulder and Butt, Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Fresh Yellow Onion, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Cilantro, Fresh Garlic, Extra Virgin Olive Oil, Worcestershire Sauce (distilled vinegar, molasses, water, corn syrup, salt, caramel color, sugar, spices, anchovy [fish], natural flavor [soy], tamarind extract & soy lecithin), Ground Cumin, Dried Oregano, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Wraps N Bowls,Warren,lunch,56
Streets Cumin Roasted Vegetables,"Ingredients: Fresh Broccoli, Fresh Yellow Squash, Fresh Zucchini, Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Cumin",Wraps N Bowls,Warren,lunch,57
Cilantro-Lime Brown Rice,"Ingredients: Water, Whole Grain Brown Rice ((long grain parboiled brown rice)  ), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Fresh Cilantro, Ground Black Pepper",Wraps N Bowls,Warren,lunch,58
Sauteed Onions,"Ingredients: Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Wraps N Bowls,Warren,lunch,59
Black Beans,"Ingredients: Water, Dried Black Beans",Wraps N Bowls,Warren,lunch,60
Pinto Beans,"Ingredients: Water, Dried Pinto Beans",Wraps N Bowls,Warren,lunch,61
Pico De Gallo,"Ingredients: Fresh Tomatoes, Fresh Yellow Onion, Fresh Jalapeno Pepper, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro",Wraps N Bowls,Warren,lunch,62
Chili Lime Corn Salad,"Ingredients: Frozen Corn Kernels, Mayonnaise (soybean oil, distilled vinegar, egg yolk, high fructose corn syrup, contains less than 2% of salt, water, mustard seed, calcium sodium edta [to protect flavor]), Scallion, Fresh Cilantro, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Granulated Sugar, Dark Chili Powder (chili pepper, spices, salt, silicon dioxide [to make free flowing] and garlic), Fresh Lime, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Wraps N Bowls,Warren,lunch,63
Streets Crema,"Ingredients: Sour Cream (cultured milk and cream, modified corn starch, guar gum, sodium citrate, carrageenan, locust bean gum, enzymes), Water, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Wraps N Bowls,Warren,lunch,64
Salsa Roja,"Ingredients: Chunky Diced Tomatoes (vine ripened tomatoes, tomato juice, sea salt, calcium chloride, citric acid), Tomato Paste (vine ripened fresh tomatoes, citric acid), Red Wine Vinegar (red wine vinegar, potassium metabisulfite [a preservative], diluted with water to 5% acidity), Fresh Cilantro, Granulated Sugar, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Yellow Onion, Tabasco Hot Sauce (distilled vinegar, red pepper, salt), Ground Cumin",Wraps N Bowls,Warren,lunch,65
Salsa Guacamole,"Ingredients: Fresh Avocado, Fresh Tomatoes, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Yellow Onion, Fresh Jalapeno Pepper, Ancho Chili Concentrate (roasted red bell pepper puree [red peppers, water, salt, citric acid], onion puree, maltodextrin, vegetable oil [corn and/or canola oil], sugar, salt, seasoning [chili, ancho, and chipotle powder], palm oil, olive oil, spices, onion powder, 2% or less of modified cornstarch, garlic, yeast extract, citric acid), Fresh Cilantro, Ground Black Pepper, Fresh Garlic, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro",Wraps N Bowls,Warren,lunch,66
Queso Fresco,"Ingredients: Queso Fresco (pasteurized grade a whole cow's milk, salt, enzymes and culture)",Wraps N Bowls,Warren,lunch,67
Shredded Iceberg Lettuce,Ingredients: Fresh Lettuce,Wraps N Bowls,Warren,lunch,68
Tortilla Chip,"Ingredients: Cajun Seasoning (garlic, spices [including paprika, oregano, red pepper], salt, and onion), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Gluten-Free 6"" Corn Tortilla (whole grain corn, water, contains 2% or less of: cellulose gum, guar gum, enzymes, and propionic acid, benzoic acid and phosphoric acid [to maintain freshness])",Wraps N Bowls,Warren,lunch,69
Mango-Lemon Agua Fresca,"Ingredients: Water, ""Ice Cubes"" (ingredient details unavailable at this time), Frozen Mango Chunks, Agave Nectar (organic agave nectar, water), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil)",Wraps N Bowls,Warren,lunch,70
Achiote Chicken ,"Ingredients: Halal Chicken Thigh ((boneless skinless thigh meat)), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Achiote Paste (water, corn flour, annatto seed, salt, garlic, spices, acetic acid and sodium benzoate as preservative [MAY CONTAIN SESAME SEEDS]), Fresh Jalapeno Pepper, Fresh Cilantro, Fresh Garlic, Ground Black Pepper, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Wraps N Bowls,Warren,dinner,133
Carne Asada,"Ingredients: Top Round (beef), Apple Cider Vinegar (apple cider vinegar,  distilled vinegar from grain, natural flavor with caramel color, diluted with water to a uniform pickling and table strength of 5% [50 grains] acidity), Orange Juice (100% orange juice from concentrate contains pure filtered water, premium concentrated orange juice, ascorbic acid [vitamin c]**. **ingredient not found in regular orange juice from concentrate), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Dried Oregano, Fresh Garlic, Ground Black Pepper, Ground Cumin, Light Soy Sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate: less than 1/10 of 1% as a preservative)",Wraps N Bowls,Warren,dinner,134
Streets Cumin Roasted Vegetables,"Ingredients: Fresh Broccoli, Fresh Yellow Squash, Fresh Zucchini, Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Cumin",Wraps N Bowls,Warren,dinner,135
Cilantro-Lime Brown Rice,"Ingredients: Water, Whole Grain Brown Rice ((long grain parboiled brown rice)  ), Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Low-Sodium Gluten-Free Vegetable Base (sauteed vegetable puree mix [carrots, onions, celery], salt, sugar, maltodextrin, corn oil, 2% or less of yeast extract, water, potato starch, xanthan gum, natural flavors, carrot juice concentrate), Fresh Cilantro, Ground Black Pepper",Wraps N Bowls,Warren,dinner,136
Sauteed Onions,"Ingredients: Fresh Yellow Onion, Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Wraps N Bowls,Warren,dinner,137
Black Beans,"Ingredients: Water, Dried Black Beans",Wraps N Bowls,Warren,dinner,138
Pinto Beans,"Ingredients: Water, Dried Pinto Beans",Wraps N Bowls,Warren,dinner,139
Pico De Gallo,"Ingredients: Fresh Tomatoes, Fresh Yellow Onion, Fresh Jalapeno Pepper, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro",Wraps N Bowls,Warren,dinner,140
Chili Lime Corn Salad,"Ingredients: Frozen Corn Kernels, Mayonnaise (soybean oil, distilled vinegar, egg yolk, high fructose corn syrup, contains less than 2% of salt, water, mustard seed, calcium sodium edta [to protect flavor]), Scallion, Fresh Cilantro, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Granulated Sugar, Dark Chili Powder (chili pepper, spices, salt, silicon dioxide [to make free flowing] and garlic), Fresh Lime, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Ground Black Pepper",Wraps N Bowls,Warren,dinner,141
Streets Crema,"Ingredients: Sour Cream (cultured milk and cream, modified corn starch, guar gum, sodium citrate, carrageenan, locust bean gum, enzymes), Water, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps])",Wraps N Bowls,Warren,dinner,142
Salsa Roja,"Ingredients: Chunky Diced Tomatoes (vine ripened tomatoes, tomato juice, sea salt, calcium chloride, citric acid), Tomato Paste (vine ripened fresh tomatoes, citric acid), Red Wine Vinegar (red wine vinegar, potassium metabisulfite [a preservative], diluted with water to 5% acidity), Fresh Cilantro, Granulated Sugar, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Yellow Onion, Tabasco Hot Sauce (distilled vinegar, red pepper, salt), Ground Cumin",Wraps N Bowls,Warren,dinner,143
Salsa Guacamole,"Ingredients: Fresh Avocado, Fresh Tomatoes, Lime Juice ([filtered water, key west lime juice concentrate, sodium benzoate]), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Fresh Yellow Onion, Fresh Jalapeno Pepper, Ancho Chili Concentrate (roasted red bell pepper puree [red peppers, water, salt, citric acid], onion puree, maltodextrin, vegetable oil [corn and/or canola oil], sugar, salt, seasoning [chili, ancho, and chipotle powder], palm oil, olive oil, spices, onion powder, 2% or less of modified cornstarch, garlic, yeast extract, citric acid), Fresh Cilantro, Ground Black Pepper, Fresh Garlic, Fresh Garlic, Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Fresh Cilantro",Wraps N Bowls,Warren,dinner,144
Queso Fresco,"Ingredients: Queso Fresco (pasteurized grade a whole cow's milk, salt, enzymes and culture)",Wraps N Bowls,Warren,dinner,145
Shredded Iceberg Lettuce,Ingredients: Fresh Lettuce,Wraps N Bowls,Warren,dinner,146
Tortilla Chip,"Ingredients: Cajun Seasoning (garlic, spices [including paprika, oregano, red pepper], salt, and onion), Coarse Flaked Kosher Salt (salt, yellow prussiate of soda [yps]), Gluten-Free 6"" Corn Tortilla (whole grain corn, water, contains 2% or less of: cellulose gum, guar gum, enzymes, and propionic acid, benzoic acid and phosphoric acid [to maintain freshness])",Wraps N Bowls,Warren,dinner,147
Mango-Lemon Agua Fresca,"Ingredients: Water, ""Ice Cubes"" (ingredient details unavailable at this time), Frozen Mango Chunks, Agave Nectar (organic agave nectar, water), Bottled Lemon Juice (filtered water, lemon juice concentrate, sodium bisulfite [preservative], sodium benzoate [preservative], lemon oil)",Wraps N Bowls,Warren,dinner,148
Edamame Rice With Cabbage,"Ingredients: Water, Shelled Edamame (soybeans), White Rice (long grain rice enriched with iron [ferric orthophosphate], niacin, thiamin [thiamin mononitrate] and folic acid)",rice and beans,Warren,lunch,93
Edamame Rice With Cabbage,"Ingredients: Water, Shelled Edamame (soybeans), White Rice (long grain rice enriched with iron [ferric orthophosphate], niacin, thiamin [thiamin mononitrate] and folic acid)",rice and beans,Warren,dinner,170
Sargent Choice Blueberry Muffin,"Ingredients: Whole-Grain Complete Baking Mix (whole wheat flour bleached, sugar, palm oil, modified corn starch. contains 2% or less of: leavening [sodium acid pyrophosphate, baking soda, monocalcium phosphate], dextrose, salt, nonfat milk, eggs with sodium silicoaluminate, mono and diglycerides, xanthan gum, soy flour), Frozen Blueberries, Liquid Whole Eggs (whole eggs, citric acid, 0.15% water added as carrier for citric acid. citric acid added to preserve color), Oil Blend (vegetable oil [may contain one or more of the following: 90% soybean and/or canola and/or corn oil, and/or sunflower oil], 10% olive [pomace] oil, beta-carotene), Water",Bakery,Warren,breakfast,24
Glazed Donuts,"Ingredients: Confectioner Sugar (sugar, corn starch), Whole Milk (milk and vitamin d3), Jumbo Unglazed Donut Ring (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron as ferrous sulfate, thiamine mononitrate, enzyme, riboflavin, folic acid], palm oil, water, whey [a milk derivative], dextrose and/or sugar, soybean oil, yeast, contains less than 2% of the following: salt, defatted soy flour, leavening [sodium acid pyrophosphate, baking soda], skim milk, distilled monoglycerides, sodium stearoyl lactylate, to preserve freshness [calcium propionate], cellulose gum, guar gum, xanthan gum, ascorbic acid, colored with beta carotene)",Bakery,Warren,breakfast,25
Apple Crumb Cupcake,"Ingredients:  Cinnamon Streusel Complete Cake Mix (cake mix: enriched flour bleached [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], sugar, palm oil, leavening [baking soda, sodium aluminum phosphate]. contains 2% or less of: dextrose, nonfat milk, egg yolk with sodium silicoaluminate, salt, modified corn starch, eggs with sodium silicoaluminate, modified whey, xanthan gum, natural flavor, annatto and turmeric extract color, defatted soy flour. topping mix: enriched flour bleached [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], brown sugar, sugar, palm oil, cinnamon, soy flour, egg, nonfat milk), Water,  Cinnamon Streusel Complete Cake Mix (cake mix: enriched flour bleached [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], sugar, palm oil, leavening [baking soda, sodium aluminum phosphate]. contains 2% or less of: dextrose, nonfat milk, egg yolk with sodium silicoaluminate, salt, modified corn starch, eggs with sodium silicoaluminate, modified whey, xanthan gum, natural flavor, annatto and turmeric extract color, defatted soy flour. topping mix: enriched flour bleached [wheat flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], brown sugar, sugar, palm oil, cinnamon, soy flour, egg, nonfat milk), Apple Slices (sliced apples and water), Confectioner Sugar (sugar, corn starch)",Bakery,Warren,breakfast,26
Assorted Cookies ,"Ingredients: Granulated Sugar, Ground Cinnamon, Chocolate Chip Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, palm oil, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], semi-sweet chocolate chips [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavor, milk], chocolate flavored chips [sugar, fractionated interesterified vegetable fat [palm kernel and/or palm oils], cocoa powder [processed with alkali], dextrose, soy lecithin, polysorbate 60, sorbitan monostearate, natural flavor, salt, vanilla extract, milk], water, eggs, dextrose, contains 2% or less of:  butter [cream [milk], salt], molasses, water, pregelatinized wheat starch, baking soda, salt, natural and artificial flavors [MAY CONTAIN PEANUTS AND TREENUTS]), Oatmeal Raisin Cookies ((sugar, enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], rolled oats, raisins [raisins, sunflower oil], coconut, eggs, invert sugar, contains 2% or less of: water, molasses, dextrose, butter [cream [milk], salt], pregelatinized wheat starch, baking soda, salt, cinnamon, milk protein concentrate, lactose [milk], soy lecithin, artificial flavor, nonfat milk, defatted soy flour [MAY CONTAIN PEANUTS]) ), Sugar Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, mono- and diglycerides, natural flavor[contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], eggs, butter [cream [milk], salt], contains 2% or less of: invert sugar, salt, baking soda, soy lecithin, defatted soy flour. [MAY CONTAIN PEANUTS AND TREENUTS]), Carnival Cookies (enriched bleached flour [bleached wheat flour, malted barley flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid], sugar, margarine [palm oil, water, soybean oil, contains 2% or less of: salt, monoanddiglycerides, natural flavors [contains milk], citric acid, vitamin a palmitate added, beta carotene [color]], semi-sweet chocolate chips [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, vanilla extract], colored chocolate candies [semisweet and dark chocolate [sugar, unsweetened chocolate, cocoa butter, dextrose, soy lecithin, natural flavor, milk], sugar, artificial color [titanium dioxide, red 40 lake, yellow 6 lake, yellow 6, yellow 5 lake, yellow 5, blue 1 lake, blue 1, red 3, blue 2 lake], gum acacia, corn syrup, cornstarch, confectioner's glaze [carnauba wax, beeswax, shellac]], eggs, dextrose, contains 2% or less of water, molasses, baking soda, salt, wheat starch, natural and artificial flavor [MAY CONTAIN PEANUTS AND TREENUTS])",Bakery,Warren,lunch,95
